blood_cl_bottle_orange 0.51 (368,237) (480,289) 20221215122747162
blood_cl_bottle_blue 0.43 (393,221) (469,471) 20221215122748599
spinal_needle 0.49 (443,0) (480,73) 20221215122752229
blood_cl_bottle_blue 0.95 (334,166) (473,222) 20221215122803434
mark_needle 0.62 (355,154) (469,267) 20221215122803684
spinal_needle 0.63 (251,453) (304,478) 20221215122811296
spinal_needle 0.44 (248,443) (305,477) 20221215122811527
spinal_needle 0.33 (226,236) (337,288) 20221215122812535
central_venous_catheter 0.34 (287,328) (348,383) 20221215122821659
central_venous_catheter 0.77 (263,121) (471,346) 20221215122822422
mark_needle 0.70 (0,10) (308,134) 20221215122823030
blood_cl_bottle_orange 0.71 (435,76) (478,138) 20221215122825511
spinal_needle 0.44 (427,68) (480,127) 20221215122825735
blood_cl_bottle_orange 0.48 (439,57) (480,117) 20221215122825967
blood_cl_bottle_orange 0.75 (358,233) (465,308) 20221215122826216
spinal_needle 0.37 (393,254) (454,307) 20221215122826442
blood_cl_bottle_orange 0.47 (430,72) (480,128) 20221215122826637
spinal_needle 0.67 (462,97) (479,134) 20221215122827318
mark_needle 0.61 (431,275) (480,347) 20221215122827486
spinal_needle 0.35 (469,90) (480,140) 20221215122828044
mark_needle 0.76 (366,272) (415,327) 20221215122828580
mark_needle 0.38 (347,389) (398,436) 20221215122829627
mark_needle 0.31 (374,264) (421,332) 20221215122830144
mark_needle 0.91 (384,337) (480,464) 20221215122832923
blood_cl_bottle_blue 0.35 (289,86) (480,337) 20221215122835127
guide_wire 0.60 (535,0) (640,225) 20221209134901736_jpg.rf.64c4e00c0b0fce9460cc467438e6cb8b
spinal_needle 0.36 (382,140) (464,188) 20221209134908934_jpg.rf.ce4992af57ba4a5cf9a269c8faee6350
spinal_needle 0.34 (379,136) (448,213) 20221209134937889_jpg.rf.ad7dc07b6aa01f7c42499db0e969c855
spinal_needle 0.80 (401,500) (467,591) 20221209134950855_jpg.rf.4c2995ea17f2af195bcabf645ae1ade7
spinal_needle 0.82 (440,380) (512,443) 20221209135005964_jpg.rf.b36a40c298015e7eb760c73b1583296b
mark_needle 0.52 (513,450) (639,612) 20221209135035828_jpg.rf.a7e8ec46fce9af1c919a5ab18acb0ca9
spinal_needle 0.39 (240,545) (308,585) 20221209135041307_jpg.rf.8466981f8f94b107c9d69f02446f5282
